,,title,description,keywords,source,,,,,
,general,,,,,,,,,
,en,Canadian Provinces,List of Canadian provinces and their codes,"canada, province, geography",,,,,,
,fr,Provinces canadiennes,Liste des provinces canadiennes et leurs codes,"Canada, province, géographie",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SGC code,Code,Province_en,Province_fr,,,,,,,
48,AB,Alberta,L'Alberta,,,,,,,
59,BC,British Columbia,La Colombie-Britannique,,,,,,,
46,MB,Manitoba,Le Manitoba,,,,,,,
13,NB,New Brunswick,Le Nouveau-Brunswick,,,,,,,
10,NL,Newfoundland and Labrador,La Terre-Neuve-et-Labrador,,,,,,,
12,NS,Nova Scotia,La Nouvelle-Écosse,,,,,,,
61,NT,Northwest Territories,Les Territoires du Nord-Ouest ,,,,,,,
62,NU,Nunavut,Le Nunavut ,,,,,,,
35,ON,Ontario,L'Ontario ,,,,,,,
11,PE,Prince Edward Island,Île-du-Prince-Édouard,,,,,,,
24,QC,Quebec,Le Québec,,,,,,,
47,SK,Saskatchewan,La Saskatchewan,,,,,,,
60,YT,Yukon,Le Yukon,,,,,,,
