,title,description,keywords,source
general,,,,
en,Education level,Highest level of education completed by the respondent.,education level;schooling;highest education;demographics,
fr,Niveau de scolarité,Niveau de scolarité le plus élevé atteint par la personne répondante.,niveau de scolarité;formation;scolarité;données démographiques,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
label_en,short_code,label_fr,,
Primary or elementary school,PES,École primaire,,
Secondary (high school diploma or equivalent),SEC,École secondaire (diplôme d’études secondaires ou équivalent),,
Apprenticeship or trades,AT,Apprentissage ou métiers spécialisés,,
College or other non-university level,CNU,Collège ou autre niveau non universitaire,,
Professional school,PS,École professionnelle,,
University bachelor level degree,UBD,Baccalauréat universitaire,,
University graduate school,UGS,Études universitaires supérieures,,
Prefer not to say,PNS,Préfère ne pas répondre,,
