,title,description,keywords,source
general,,,,
en,Eight Point Cardinality,"The 8‑wind compass rose consists of the four cardinal directions—north (N), east (E), south (S), and west (W)—arranged at 90‑degree intervals. By bisecting each of these angles, four intercardinal directions are formed: northeast (NE), southeast (SE), southwest (SW), and northwest (NW). Altogether, these eight points provide a simple directional framework commonly used in navigation and maps.",,
fr,Cardinalité à huit points,"La rose des vents à huit points cardinaux se compose des quatre directions cardinales — nord (N), est (E), sud (S) et ouest (O) — disposées à intervalles de 90 degrés. La bissectrice de chacun de ces angles forme les quatre directions intermédiaires : nord-est (NE), sud-est (SE), sud-ouest (SO) et nord-ouest (NO). Ces huit points constituent un système d’orientation simple, couramment utilisé en navigation et en cartographie.",,
,,,,
,,,,
,,,,
,,,,
,,,,
Cardinality,Description_en,Description_fr,,
N,North,Nord,,
NE,Northeast,Nord-Est,,
E,East,Est,,
SE,Southeast,Sud-Est,,
S,South,Sud,,
SW,Southwest,Sud-Ouest,,
W,West,Ouest,,
NW,Northwest,Nord-Ouest,,
