,title,description,keywords,source
general,,,,https://link.springer.com/article/10.1186/s12870-025-07322-y
en,Wheat Lodging,A visual estimation of lodging before harvest,,
fr,Verse du blé,Une estimation visuelle de la verse avant la récolte,,
,,,,
,,,,
,,,,
,,,,
,,,,
Lodging,description_en,description_fr,,
1,severe lodging making harvesting impossible,Verse sévère rendant la récolte impossible.,,
2,Intermediate state between significant lodging and severe lodging.,État intermédiaire entre verse importante et verse sévère.,,
3,plants lodged significantly making machine harvesting difficul,Verse importante rendant la récolte mécanique difficile.,,
4,Intermediate state between medium lodging and significant lodging.,État intermédiaire entre verse modérée et verse importante.,,
5,medium degree of lodging,Degré moyen de verse.,,
6,Intermediate state between slight lodging and medium lodging.,État intermédiaire entre légère verse et verse modérée.,,
7,plants are slightly lodged or stand upright after lodging,Les plantes sont légèrement versées ou se redressent après la verse.,,
8,Intermediate state between no lodging and slight lodging.,État intermédiaire entre aucune verse et une légère verse.,,
9,no lodging,Aucune verse.,,
