,title,,description,keywords,source,,
general,,,,,,,
en,months,,Months of the year,"date, calendar, month",,,
fr,mois,,Mois de l'année,"date, calendrier, mois",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Month_en,code_en,Month_number,Month_fr,code_fr,,,
January,Jan,01,janvier,janv,,,
February,Feb,02,février,févr,,,
March,Mar,03,mars,mars,,,
April,Apr,04,avril ,avr,,,
May,May,05,mai,mai,,,
June,Jun,06,juin,juin,,,
July,Jul,07,juillet,juil,,,
August,Aug,08,août,août,,,
September,Sep,09,septembre,sept,,,
October,Oct,10,octobre,octo,,,
November,Nov,11,novembre,nov,,,
December,Dec,12,décembre,déc,,,
