,title,description,keywords,source,,,,,
general,,,,,,,,,
en,Sixteen Point Cardinality,"The 16‑wind compass rose expands on the 8‑point system by adding eight half‑winds. These are created by bisecting each 45‑degree angle between the cardinal and intercardinal points. The added directions are: north‑northeast (NNE), east‑northeast (ENE), east‑southeast (ESE), south‑southeast (SSE), south‑southwest (SSW), west‑southwest (WSW), west‑northwest (WNW), and north‑northwest (NNW). This system provides more precise directional reference at 22.5‑degree increments.",,,,,,,
fr,Cardinalité à seize points,La rose des vents à 16 points cardinaux complète la rose des vents à 8 points en ajoutant huit demi-vents. Ces derniers sont obtenus en bissectant chaque angle de 45 degrés entre les points cardinaux et intermédiaires. Les directions ajoutées sont : nord-nord-est (NNE), est-nord-est (ENE), est-sud-est (ESE), sud-sud-est (SSE), sud-sud-ouest (SSW), ouest-sud-ouest (WSW), ouest-nord-ouest (WNW) et nord-nord-ouest (NNW). Ce système offre une orientation plus précise par incréments de 22,5 degrés.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Cardinality,Description_en,Description_fr,,,,,,,
N,North,Nord,,,,,,,
NNE,North-Northeast,Nord-Nord-Est,,,,,,,
NE,Northeast,Nord-Est,,,,,,,
ENE,East-Northeast,Est-Nord-Est,,,,,,,
E,East,Est,,,,,,,
ESE,East-Southeast,Est-Sud-Est,,,,,,,
SE,Southeast,Sud-Est,,,,,,,
SSE,South-Southeast,Sud-Sud-Est,,,,,,,
S,South,Sud,,,,,,,
SSW,South-Southwest,Sud-Sud-Ouest,,,,,,,
SW,Southwest,Sud-Ouest,,,,,,,
WSW,West-Southwest,Ouest-Sud-Ouest,,,,,,,
W,West,Ouest,,,,,,,
WNW,West-Northwest,Ouest-Nord-Ouest,,,,,,,
NW,Northwest,Nord-Ouest,,,,,,,
NNW,North-Northwest,Nord-Nord-Ouest,,,,,,,
