,title,description,keywords,source
general,,,,https://sis.agr.gc.ca/cansis/nsdb/soil/v2/snt/drainage.html
en,Soil Drainage Class,Indicates the type of drainage found within a soil profile.,,
fr,Classe de drainage du sol,Indique le type de drainage présent dans un profil de sol.,,
,,,,
,,,,
,,,,
,,,,
,,,,
Code,Class_en,Description_en,Class_fr,Description_fr
VR,Very rapidly drained,"Water is removed from the soil very rapidly in relation to supply. Excess water flows downward very rapidly if underlying material is pervious. There may be very rapid subsurface flow during heavy rainfall provided there is a steep gradient. Soils have very low available water storage capacity (usually less than 2.5 cm) within the control section and are usually coarse textured, or shallow, or both. Water source is precipitation.",Très rapidement drainé,"L’eau est évacuée du sol très rapidement par rapport à l’apport. L’eau en excès s’infiltre très rapidement vers le bas si le matériau sous-jacent est perméable. Il peut y avoir un écoulement souterrain très rapide lors de fortes pluies, pourvu qu’il y ait une forte pente. Les sols ont une très faible capacité de rétention d’eau disponible (généralement moins de 2,5 cm) dans la section de contrôle et sont habituellement de texture grossière, ou peu profonds, ou les deux. La source d’eau est la précipitation."
R,Rapidly drained,"Water is removed from the soil rapidly in relation to supply. Excess water flows downward if underlying material is pervious. Subsurface flow may occur on steep gradients during heavy rainfall. Soils have low available water storage capacity (2.5-4 cm) within the control section, and are usually coarse textured, or shallow, or both. Water source is precipitation.",Rapidement drainé,"L’eau est évacuée du sol rapidement par rapport à l’apport. L’eau en excès s’infiltre vers le bas si le matériau sous-jacent est perméable. Un écoulement souterrain peut se produire sur des pentes abruptes lors de fortes pluies. Les sols ont une faible capacité de rétention d’eau disponible (2,5 à 4 cm) dans la section de contrôle et sont généralement de texture grossière, ou peu profonds, ou les deux. La source d’eau est la précipitation."
W,Well drained,"Water is removed from the soil readily but not rapidly. Excess water flows downward readily into underlying pervious material or laterally as subsurface flow. Soils have intermediate available water storage capacity (4-5 cm) within the control section, and are generally intermediate in texture and depth. Water source is precipitation. On slopes subsurface flow may occur for short durations, but additions are equaled by losses.",Bien drainé,"L’eau est évacuée du sol facilement mais non rapidement. L’eau en excès s’infiltre facilement dans le matériau perméable sous-jacent ou s’écoule latéralement comme écoulement souterrain. Les sols ont une capacité de rétention d’eau disponible intermédiaire (4 à 5 cm) dans la section de contrôle, et sont généralement de texture et profondeur intermédiaires. La source d’eau est la précipitation. Sur les pentes, un écoulement souterrain peut se produire pendant de courtes durées, mais les apports sont compensés par les pertes."
