,title,description,keywords,source
general,,,,https://www.biologydiscussion.com/soil/physical-and-chemical-properties-of-soil/7220
en,Soil plasticity class,Plasticity category (Atterberg-related).,, 
fr,Classe de plasticité du sol,Catégorie de plasticité (liée aux limites d’Atterberg).,, 
,,,, 
,,,, 
,,,,
,,,, 
,,,, 
Code,Class_en,Description_en,Class_fr,Description_fr 
PLAL,Low,Low plasticity,Faible,Plasticité faible
PLAM,Medium,Medium plasticity,Moyenne,Plasticité moyenne
PLAH,High,High plasticity,Élevée,Plasticité élevée
