,title,description,keywords,source
general,,,,https://linkml.io/valuesets/governance/#maturity-levels
en,Maturity Levels,"Key stages in a standard’s lifecycle—from early drafting to publication, long‑term adoption, and eventual retirement. Each status reflects how mature, stable, and widely accepted a standard is at any point in its development.","standard lifecycle, specification development, version status",
fr,Niveaux de maturité,,"cycle de vie standard, développement des spécifications, état des versions",
,,,,
,,,,
,,,,
,,,,
,,,,
Status,Description_en,,,
DRAFT,"Initial development, may change significantly",,,
WORKING_DRAFT,Active work by a working group,,,
COMMITTEE_DRAFT,Under formal review,,,
CANDIDATE_RECOMMENDATION,Ready for implementation testing,,,
PROPOSED_STANDARD,"Stable, ready for adoption",,,
STANDARD,Approved and published,,,
MATURE_STANDARD,Well-established with wide adoption,,,
SUPERSEDED,Replaced by a newer version,,,
WITHDRAWN,No longer recommended,,,
