,title,description,keywords,source
general,,,,
en,Thirty-two Point Cardinality,"The 32?wind compass rose subdivides the circle even further by adding quarter?winds, which fall halfway between each pair of 16?wind points. These “by” directions—such as north by east, northeast by north, and southwest by west—create a system of 32 points spaced at 11.25?degree intervals. Historically used in maritime navigation, this finer resolution allows much more accurate description of direction.",,
fr,Cardinalité à trente-deux points,"La rose des vents à 32 points subdivise davantage le cercle en ajoutant des quarts de vent, situés à mi-chemin entre chaque paire de points à 16 points. Ces directions par— comme le nord par l'est, le nord-est par le nord et le sud-ouest par l'ouest — créent un système de 32 points espacés de 11,25 degrés. Historiquement utilisée en navigation maritime, cette résolution plus fine permet une description beaucoup plus précise de la direction.",,
,,,,
,,,,
,,,,
,,,,
,,,,
Cardinality,Description_en,Description_fr,,
N,North,Nord,,
N by E,North by East,Nord quart Est,,
NNE,North-Northeast,Nord-Nord-Est,,
NE by N,Northeast by North,Nord-Est quart Nord,,
NE,Northeast,Nord-Est,,
NE by E,Northeast by East,Nord-Est quart Est,,
ENE,East-Northeast,Est-Nord-Est,,
E by N,East by North,Est quart Nord,,
E,East,Est,,
E by S,East by South,Est quart Sud,,
ESE,East-Southeast,Est-Sud-Est,,
SE by E,Southeast by East,Sud-Est quart Est,,
SE,Southeast,Sud-Est,,
SE by S,Southeast by South,Sud-Est quart Sud,,
SSE,South-Southeast,Sud-Sud-Est,,
S by E,South by East,Sud quart Est,,
S,South,Sud,,
S by W,South by West,Sud quart Ouest,,
SSW,South-Southwest,Sud-Sud-Ouest,,
SW by S,Southwest by South,Sud-Ouest quart Sud,,
SW,Southwest,Sud-Ouest,,
SW by W,Southwest by West,Sud-Ouest quart Ouest,,
WSW,West-Southwest,Ouest-Sud-Ouest,,
W by S,West by South,Ouest quart Sud,,
W,West,Ouest,,
W by N,West by North,Ouest quart Nord,,
WNW,West-Northwest,Ouest-Nord-Ouest,,
NW by W,Northwest by West,Nord-Ouest quart Ouest,,
NW,Northwest,Nord-Ouest,,
NW by N,Northwest by North,Nord-Ouest quart Nord,,
NNW,North-Northwest,Nord-Nord-Ouest,,
N by W,North by West,Nord quart Ouest,,
